ntrials,nmsgs,peg,peb
1,450000,1,1
1,436667,1,1
1,423334,1,1
1,410001,1,1
1,396668,0.998004,1
1,383335,0.994036,1
1,370002,0.986193,1
1,356669,0.957854,1
1,343336,0.931099,1
1,330003,0.891266,1
1,316670,0.816993,1
1,303337,0.723589,1
1,290004,0.598802,1
1,276671,0.49505,1
1,263338,0.383436,1
1,250005,0.275028,1
1,236672,0.204666,1
1,223339,0.126904,1
1,210006,0.087581,1
1,196673,0.0553342,0.998561
1,183340,0.0319754,0.987785
1,170007,0.0177816,0.935168
1,156674,0.00857913,0.795474
1,143341,0.00410425,0.57943
3,130008,0.00181232,0.355596
7,116675,0.000681639,0.182025
20,103342,0.000254453,0.0794098
85,90009,6.5894e-05,0.0289387
446,76676,1.46388e-05,0.00862145
